tema;pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta;justificacion;
Colombia;¿En qué ciudad se celebra la Feria de las Flores?;Bogotá;Cali;Medellín;Manizales;C;La Feria de las Flores se realiza en Medellín.;
Colombia;¿En qué año se firmó la Constitución Política vigente?;1986;1991;2000;1974;B;La Constitución actual fue promulgada en 1991.;
Colombia;¿Cuál es el árbol nacional de Colombia?;Ceiba;Palma de cera;Roble;Eucalipto;B;La palma de cera es el árbol nacional.;
Colombia;"¿Qué ciudad es conocida como la ""Sucursal del Cielo""?";Medellín;Cali;Bucaramanga;Neiva;B;Cali recibe ese sobrenombre popularmente.;
Colombia;¿Qué mineral ha sido históricamente una importante exportación colombiana?;Cobre;Esmeraldas;Uranio;Plata;B;Colombia es reconocida por la calidad de sus esmeraldas.;
Colombia;¿Cuál es el pico más alto de Colombia?;Nevado del Ruiz;Sierra Nevada de Santa Marta;Cerro Tatamá;Pico Cristóbal Colón;D;El Pico Cristóbal Colón alcanza aproximadamente 5.730 metros.;
Colombia;¿Qué ciclista colombiano ganó el Giro de Italia en 2014?;Egan Bernal;Nairo Quintana;Rigoberto Urán;Santiago Buitrago;B;Nairo Quintana ganó el Giro de Italia en 2014.;
Colombia;¿Por cuál característica destaca Colombia a nivel mundial?;Ser el país más grande del mundo;Tener la mayor biodiversidad por unidad de área;Ser el país más frío;Tener más desiertos;B;Colombia es uno de los países megadiversos del planeta.;
Cultura general;¿Quién escribió Don Quijote de la Mancha?;Gabriel García Márquez;Miguel de Cervantes;Pablo Neruda;Federico García Lorca;B;Cervantes publicó la obra en el siglo XVII.;
Cultura general;¿Quién pintó la Mona Lisa?;Picasso;Leonardo da Vinci;Van Gogh;Rembrandt;B;La Mona Lisa fue pintada por Leonardo da Vinci.;
Cultura general;¿Cuál es el idioma más hablado del mundo por número de hablantes nativos?;Inglés;Mandarín;Español;Hindi;B;El mandarín ocupa el primer lugar.;
Cultura general;¿Quién inventó la imprenta de tipos móviles en Europa?;Newton;Gutenberg;Edison;Tesla;B;Johannes Gutenberg revolucionó la impresión.;
Cultura general;¿Qué premio reconoce contribuciones destacadas a la paz; la ciencia y la literatura?;Pulitzer;Nobel;Cervantes;Goya;B;Los Premios Nobel fueron establecidos por Alfred Nobel.
Cultura general;¿Cuántos días tiene un año bisiesto?;364;366;365;367;B;Los años bisiestos tienen 366 días.;
Cultura general;¿Qué idioma tiene más países donde es oficial?;Francés;Inglés;Español;Árabe;B;El inglés es idioma oficial en más países.;
Cultura general;¿En qué ciudad se encuentra el Museo del Louvre?;Madrid;Londres;París;Roma;C;El Louvre está ubicado en París.;
Cultura general;¿Cuál es el libro sagrado del islam?;Biblia;Torá;Corán;Vedas;C;El Corán es el texto sagrado del islam.;
Cultura general;¿Cuántos elementos químicos tiene actualmente la tabla periódica?;112;118;120;126;B;La tabla periódica reconoce 118 elementos.;
Cultura general;¿Cuál es el idioma oficial de Brasil?;Español;Portugués;Francés;Italiano;B;El idioma oficial es el portugués.;
Cultura general;¿Quién escribió Cien años de soledad?;Mario Vargas Llosa;Gabriel García Márquez;Jorge Luis Borges;Isabel Allende;B;Gabriel García Márquez publicó la novela en 1967.;
Cultura general;¿Cuántos planetas tiene actualmente el Sistema Solar?;7;8;9;10;B;Desde 2006 se reconocen ocho planetas.;
Cultura general;¿Quién pintó La noche estrellada?;Picasso;Van Gogh;Monet;Dalí;B;La obra fue pintada por Vincent van Gogh.;
Cultura general;¿Cuántas cuerdas tiene una guitarra clásica?;4;5;6;7;C;La guitarra clásica posee seis cuerdas.;
Cultura general;¿Qué premio reconoce la industria cinematográfica española?;BAFTA;Goya;César;Ariel;B;Los Premios Goya son otorgados en España.;
Cultura general;¿Cuál es el metal líquido a temperatura ambiente?;Hierro;Plomo;Mercurio;Aluminio;C;El mercurio permanece líquido a temperatura ambiente.;
Cultura general;¿En qué ciudad se encuentra el Vaticano?;Milán;Florencia;Roma;Nápoles;C;La Ciudad del Vaticano está enclavada en Roma.;
Cultura general;¿Qué idioma se habla principalmente en Austria?;Francés;Alemán;Italiano;Neerlandés;B;El alemán es el idioma oficial.;
Cultura general;¿Quién inventó el teléfono?;Thomas Edison;Nikola Tesla;Alexander Graham Bell;Guglielmo Marconi;C;Bell patentó uno de los primeros teléfonos prácticos.;
Deportes;¿Cuántos jugadores tiene un equipo de fútbol en el campo al iniciar el partido?;9;10;11;12;C;Cada equipo juega con 11 futbolistas.;
Deportes;¿Cada cuántos años se celebra la Copa Mundial de la FIFA?;2;3;4;5;C;La Copa Mundial se celebra cada cuatro años.;
Deportes;¿Cuántos puntos vale un tiro libre?;1;2;3;4;A;Un tiro libre exitoso vale un punto.;
Deportes;¿Cómo se llama el torneo más antiguo de tenis?;Roland Garros;Wimbledon;US Open;Australian Open;B;Wimbledon comenzó en 1877.;
Deportes;¿Cuántos metros tiene una maratón oficial?;40.000;41.195;42.195;43.000;C;La distancia oficial es de 42;195 km.
Deportes;¿Qué color identifica al líder del Tour de Francia?;Rojo;Verde;Amarillo;Blanco;C;El maillot amarillo distingue al líder.;
Deportes;¿Cada cuántos años se celebran los Juegos Olímpicos de Verano?;2;3;4;5;C;Se realizan cada cuatro años.;
Deportes;¿Qué estilo de natación permite nadar boca arriba?;Mariposa;Pecho;Espalda;Libre;C;El estilo espalda se realiza mirando hacia arriba.;
Deportes;¿Qué bandera indica el final de una carrera?;Roja;Amarilla;A cuadros;Verde;C;La bandera a cuadros señala el final.;
Deportes;¿Cuántos jugadores hay por equipo en la cancha?;5;6;7;8;B;Cada equipo juega con seis jugadores.;
Deportes;¿Qué país ha ganado más Copas Mundiales de la FIFA masculina?;Italia;Alemania;Brasil;Argentina;C;Brasil ha conquistado cinco títulos mundiales.;
Deportes;¿Cuántos jugadores hay en cancha por equipo en baloncesto?;4;5;6;7;B;Cada equipo juega con cinco jugadores.;
Deportes;¿Qué superficie caracteriza a Roland Garros?;Césped;Cemento;Arcilla;Moqueta;C;El torneo se disputa sobre arcilla.;
Deportes;¿Qué estilo se nada primero en la prueba combinada individual?;Espalda;Pecho;Mariposa;Libre;C;La prueba inicia con mariposa.;
Deportes;¿Cuántos metros tiene una pista olímpica de atletismo?;200;300;400;500;C;La longitud estándar es de 400 metros.;
Deportes;¿Qué competencia de tres semanas se disputa principalmente en España?;Giro de Italia;Tour de Francia;Vuelta a España;París-Niza;C;La Vuelta a España es una gran vuelta.;
Deportes;¿Qué símbolo representan los cinco anillos olímpicos?;Cinco océanos;Cinco continentes habitados;Cinco deportes;Cinco idiomas;B;Representan la unión de los continentes.;
Deportes;¿Cuántos puntos recibe normalmente el ganador de un Gran Premio?;18;20;25;30;C;El sistema actual otorga 25 puntos al vencedor.;
Deportes;¿A cuántos puntos se juega normalmente un set (con diferencia de dos)? ;21;25;30;15;B;Los sets regulares llegan a 25 puntos.;
Deportes;¿Cuántas casillas tiene un tablero de ajedrez?;49;64;81;100;B;El tablero está compuesto por 64 casillas.;
Economía y negocios;¿Cómo se llama la moneda oficial de Japón?;Yuan;Won;Yen;Dólar;C;La moneda japonesa es el yen.;
Economía y negocios;¿Qué institución suele emitir el dinero de un país?;Ministerio de Educación;Banco Central;Congreso;Bolsa de Valores;B;Generalmente esta función corresponde al banco central.;
Economía y negocios;¿Qué significa PIB?;Producto Interno Bruto;Precio Internacional Base;Producto Industrial Bancario;Plan Interno de Balance;A;El PIB mide el valor de los bienes y servicios producidos.;
Economía y negocios;¿Qué representa la inflación?;Aumento generalizado de precios;Disminución del empleo;Caída de salarios;Aumento de exportaciones;A;La inflación es el incremento sostenido de los precios.;
Economía y negocios;¿Qué instrumento financiero suele generar intereses por un depósito?;Cuenta de ahorros;Cédula;Factura;Cheque;A;Las cuentas de ahorro pagan intereses según la entidad.;
Economía y negocios;¿Qué empresa desarrolló el iPhone?;Samsung;Google;Apple;Huawei;C;Apple lanzó el primer iPhone en 2007.;
Economía y negocios;¿Qué significa comprar acciones de una empresa?;Prestarle dinero;Ser propietario de una parte de ella;Administrarla;Comprar sus productos;B;Una acción representa una participación en la empresa.;
Economía y negocios;¿Qué impuesto suele aplicarse al consumo en muchos países?;IVA;Predial;Renta;Patrimonio;A;El IVA grava la venta de bienes y servicios.;
Economía y negocios;¿Cómo se denomina una empresa de reciente creación con alto potencial de crecimiento?;Holding;Startup;Franquicia;Consorcio;B;Una startup busca crecer rápidamente mediante innovación.;
Economía y negocios;¿Cuál de estas monedas pertenece a la Unión Europea?;Libra esterlina;Euro;Franco suizo;Corona noruega;B;El euro es la moneda común de numerosos países europeos.;
Economía y negocios;¿Qué indicador mide el valor total de los bienes y servicios producidos por un país?;IPC;PIB;Balanza comercial;Tasa de interés;B;El Producto Interno Bruto (PIB) mide la producción de una economía.;
Economía y negocios;¿Qué institución presta dinero y recibe depósitos?;Supermercado;Banco;Bolsa de valores;Aseguradora;B;Los bancos administran depósitos y conceden préstamos.;
Economía y negocios;¿Qué ocurre normalmente cuando aumenta la demanda y la oferta permanece igual?;El precio baja;El precio sube;El mercado desaparece;No cambia el precio;B;Una mayor demanda suele incrementar el precio.;
Economía y negocios;¿Qué documento suele entregarse como comprobante de una venta?;Pasaporte;Factura;Licencia;Escritura;B;La factura registra oficialmente una transacción.;
Economía y negocios;¿Qué departamento suele encargarse de contratar personal?;Marketing;Recursos Humanos;Contabilidad;Compras;B;Recursos Humanos administra el talento humano.;
Economía y negocios;¿Cuál suele ser una inversión de renta variable?;Bono gubernamental;Acción;CDT;Cuenta de ahorros;B;Las acciones pueden variar de valor constantemente.;
Economía y negocios;¿Cómo se llama el documento que describe un nuevo negocio?;Plan de negocios;Manual de usuario;Acta de reunión;Inventario;A;El plan de negocios define la estrategia del emprendimiento.;
Economía y negocios;¿Cuál es la moneda oficial de Colombia?;Peso colombiano;Dólar;Euro;Sol;A;La moneda oficial es el peso colombiano.;
Economía y negocios;¿Qué documento resume ingresos; gastos y utilidad de una empresa?;Balance general;Estado de resultados;Factura;Recibo;B;El estado de resultados muestra el desempeño financiero.
Economía y negocios;¿Qué busca principalmente una campaña publicitaria?;Reducir impuestos;Aumentar el conocimiento o ventas de un producto;Cambiar leyes;Disminuir la producción;B;La publicidad busca atraer clientes y aumentar las ventas.;
Gastronomía;¿Cuál es el ingrediente principal del guacamole?;Tomate;Aguacate;Pepino;Espinaca;B;El aguacate es la base del guacamole.;
Gastronomía;¿De qué planta proviene el café?;Cacao;Cafeto;Té;Caña de azúcar;B;Los granos de café provienen del cafeto.;
Gastronomía;¿Cuál es el ingrediente principal del merengue?;Leche;Yema de huevo;Clara de huevo;Mantequilla;C;El merengue se prepara con claras batidas.;
Gastronomía;¿Qué queso se utiliza tradicionalmente en la pizza margarita?;Cheddar;Parmesano;Mozzarella;Gouda;C;La mozzarella es el queso tradicional.;
Gastronomía;¿Cuál es la fruta más consumida en el mundo?;Manzana;Banano;Uva;Naranja;B;El banano figura entre las frutas más consumidas globalmente.;
Gastronomía;¿De qué flor se obtiene el azafrán?;Rosa;Lirio;Crocus;Tulipán;C;El azafrán procede del Crocus sativus.;
Gastronomía;¿Cuál es el ingrediente principal del sushi?;Papa;Arroz;Yuca;Avena;B;El arroz preparado es el componente esencial.;
Gastronomía;¿Qué ingrediente hace crecer la masa del pan?;Sal;Levadura;Azúcar;Vinagre;B;La levadura fermenta y produce dióxido de carbono.;
Gastronomía;¿De qué semilla se obtiene el chocolate?;Café;Cacao;Vainilla;Canela;B;El chocolate se elabora a partir del cacao.;
Gastronomía;¿Cuál de estos ingredientes es tradicional en una tortilla mexicana?;Maíz;Arroz;Cebada;Avena;A;La tortilla tradicional mexicana se prepara con maíz.;
Geografía;¿Cuál es la capital de Argentina?;Rosario;Córdoba;Buenos Aires;Mendoza;C;Buenos Aires es la capital argentina.;
Geografía;¿Cuál es la capital de Brasil?;São Paulo;Río de Janeiro;Brasilia;Salvador;C;Brasilia es la capital desde 1960.;
Geografía;¿Qué país tiene la mayor población de Europa?;Alemania;Rusia;Francia;Italia;B;Rusia es el país europeo con mayor población si se considera su territorio europeo.;
Geografía;¿Cuál es el río más largo de África?;Congo;Níger;Nilo;Zambeze;C;El Nilo es el río más largo del continente.;
Geografía;¿Cuál es el lago de agua dulce más grande de Sudamérica?;Maracaibo;Titicaca;General Carrera;Nahuel Huapi;B;El lago Titicaca es el más grande por superficie.;
Geografía;¿Qué país tiene una hoja de arce en su bandera?;Estados Unidos;Canadá;Australia;Nueva Zelanda;B;La hoja de arce es el símbolo nacional de Canadá.;
Geografía;¿En qué continente se encuentra el desierto de Atacama?;Asia;África;América del Sur;Oceanía;C;El desierto de Atacama está en Chile.;
Geografía;¿En qué cordillera se encuentra el Monte Everest?;Andes;Alpes;Himalaya;Cáucaso;C;El Everest pertenece al Himalaya.;
Geografía;¿Qué océano baña la costa occidental de América?;Atlántico;Índico;Pacífico;Ártico;C;La costa occidental americana limita con el Pacífico.;
Geografía;¿Cómo se llama la línea imaginaria que divide la Tierra en hemisferio norte y sur?;Trópico de Cáncer;Meridiano de Greenwich;Ecuador;Círculo Polar Ártico;C;El ecuador divide la Tierra en dos hemisferios.;
Historia;¿Qué civilización construyó las pirámides de Guiza?;Romanos;Egipcios;Mayas;Griegos;B;Las pirámides de Guiza fueron construidas por el Antiguo Egipto.;
Historia;¿Qué enfermedad provocó una gran pandemia en Europa durante el siglo XIV?;Viruela;Peste Negra;Cólera;Gripe Española;B;La Peste Negra causó millones de muertes.;
Historia;¿En qué año comenzó la independencia de Colombia?;1808;1810;1819;1821;B;El 20 de julio de 1810 inició el proceso independentista.;
Historia;¿Cuál fue la capital del Imperio Romano?;Atenas;Roma;Constantinopla;Milán;B;Roma fue la capital del imperio durante gran parte de su historia.;
Historia;¿Qué país lanzó las bombas atómicas sobre Hiroshima y Nagasaki?;Reino Unido;Estados Unidos;Francia;Unión Soviética;B;Fueron lanzadas por Estados Unidos en 1945.;
Historia;¿Quién fue conocido como el Libertador de América?;José Martí;Simón Bolívar;Bernardo O'Higgins;Antonio José de Sucre;B;Simón Bolívar lideró la independencia de varios países.;
Historia;¿Qué navegante dio la primera vuelta al mundo?;Cristóbal Colón;Fernando de Magallanes y Juan Sebastián Elcano;Vasco da Gama;James Cook;B;La expedición fue completada por Elcano tras la muerte de Magallanes.;
Historia;¿En qué país ocurrió la Revolución Francesa?;Italia;Francia;Alemania;España;B;Ocurrió en Francia en 1789.;
Historia;¿Quién fue el primer presidente de Colombia?;Simón Bolívar;Francisco de Paula Santander;Rafael Núñez;Tomás Cipriano de Mosquera;A;Bolívar fue el primer presidente de la Gran Colombia.;
Historia;¿Dónde se originó la democracia?;Roma;Atenas;Esparta;Cartago;B;La democracia ateniense es considerada la primera.;
Historia;¿Quién fue el primer emperador romano?;Nerón;Julio César;Augusto;Trajano;C;Augusto fue el primer emperador de Roma.;
Historia;¿Qué continente alcanzó Vasco da Gama navegando alrededor de África?;América;Oceanía;Asia;Antártida;C;Vasco da Gama llegó a la India.;
Historia;¿En qué año terminó la Segunda Guerra Mundial?;1942;1943;1945;1948;C;La guerra terminó en 1945.;
Historia;¿Qué muro dividía Berlín hasta 1989?;Muro Romano;Muro Alemán;Muro de Berlín;Muro de Hierro;C;El Muro de Berlín simbolizaba la Guerra Fría.;
Historia;¿Qué batalla consolidó la independencia de la Nueva Granada?;Boyacá;Carabobo;Pichincha;Ayacucho;A;La Batalla de Boyacá fue decisiva en 1819.;
Historia;¿Qué idioma hablaban principalmente los antiguos romanos?;Griego;Latín;Italiano;Arameo;B;El latín era la lengua oficial del Imperio Romano.;
Historia;¿Qué navegante descubrió la ruta marítima hacia la India rodeando África?;Cristóbal Colón;Vasco da Gama;Magallanes;Cook;B;Vasco da Gama abrió la ruta marítima.;
Historia;¿Dónde se desarrolló la civilización maya?;Egipto;Mesoamérica;Mesopotamia;India;B;Los mayas habitaron el sur de México y Centroamérica.;
Historia;¿Qué documento proclamó la independencia de Estados Unidos en 1776?;Carta Magna;Declaración de Independencia;Constitución;Bill of Rights;B;Fue aprobada el 4 de julio de 1776.;
Historia;¿Cómo se llamaban las expediciones militares cristianas hacia Tierra Santa?;Conquistas;Cruzadas;Reconquistas;Invasiones;B;Las Cruzadas ocurrieron entre los siglos XI y XIII.;
Internet y redes sociales;¿Qué significan las siglas URL?;Universal Resource Locator;Uniform Resource Locator;Unified Resource Link;Universal Reference Link;B;URL significa Uniform Resource Locator.;
Internet y redes sociales;¿Cuál de estos es un navegador web?;Windows;Chrome;Android;Excel;B;Google Chrome es un navegador web.;
Internet y redes sociales;¿Qué símbolo es indispensable en una dirección de correo electrónico?;#;@;&;%;B;Toda dirección de correo contiene el símbolo @.;
Internet y redes sociales;¿Qué es el phishing?;Un antivirus;Un intento de robo de información mediante engaños;Una red social;Un buscador;B;El phishing busca obtener credenciales o datos personales.;
Internet y redes sociales;¿Cuál de estas contraseñas es más segura?;123456;password;Juan2024;7T!mQ#91xL;D;Las contraseñas largas y aleatorias son más difíciles de descifrar.;
Internet y redes sociales;¿Qué plataforma es conocida por videos cortos?;LinkedIn;TikTok;GitHub;Dropbox;B;TikTok se centra en videos cortos.;
Internet y redes sociales;¿Cuál es el buscador más utilizado en el mundo?;Bing;Yahoo;Google;DuckDuckGo;C;Google lidera el mercado de buscadores.;
Internet y redes sociales;¿Qué significa VPN?;Virtual Private Network;Verified Public Node;Visual Program Network;Virtual Public Net;A;Una VPN cifra el tráfico y protege la conexión.;
Internet y redes sociales;¿Qué servicio permite guardar archivos en línea?;PowerPoint;OneDrive;Paint;Bloc de notas;B;OneDrive es un servicio de almacenamiento en la nube.;
Internet y redes sociales;¿En qué década comenzó a popularizarse Internet para el público general?;1970;1980;1990;2010;C;Su expansión masiva ocurrió durante los años noventa.;
Música;¿Qué instrumento tiene 88 teclas?;Violín;Piano;Guitarra;Flauta;B;El piano estándar tiene 88 teclas.;
Música;¿Quién compuso la Novena Sinfonía?;Mozart;Beethoven;Bach;Chopin;B;Beethoven la estrenó en 1824.;
Música;¿Cuál es conocido como el Rey del Pop?;Elvis Presley;Michael Jackson;Prince;Freddie Mercury;B;Michael Jackson recibió ese título.;
Música;¿Cuál de estos es un instrumento de cuerda?;Trompeta;Guitarra;Saxofón;Flauta;B;La guitarra produce sonido mediante cuerdas.;
Música;¿Qué premios reconocen la excelencia musical?;Óscar;Grammy;Emmy;Tony;B;Los Grammy premian la música.;
Música;¿Qué banda lanzó Bohemian Rhapsody?;The Beatles;Queen;ABBA;U2;B;Bohemian Rhapsody es una canción de Queen.;
Música;¿De qué país es originario el tango?;Brasil;Argentina;México;Chile;B;El tango nació en la región del Río de la Plata.;
Música;¿Cuántas notas tiene la escala musical tradicional?;5;7;8;12;B;La escala diatónica tiene siete notas.;
Música;¿Quién compuso La Traviata?;Verdi;Mozart;Puccini;Rossini;A;Giuseppe Verdi compuso La Traviata.;
Música;¿Qué género musical es originario de la costa Caribe colombiana?;Salsa;Vallenato;Tango;Cumbia;D;La cumbia se originó en la región Caribe colombiana.;
Música;¿Qué banda británica lanzó el álbum Abbey Road?;Queen;The Beatles;The Rolling Stones;Pink Floyd;B;Abbey Road fue publicado por The Beatles en 1969.;
Música;¿Cuál instrumento tiene normalmente 47 cuerdas?;Violín;Arpa;Cello;Guitarra;B;El arpa de concierto posee alrededor de 47 cuerdas.;
Música;¿De qué país es originaria la samba?;Argentina;Brasil;Cuba;Colombia;B;La samba nació en Brasil.;
